"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Austria","2019","Total","Both Sexes","Bregenz","City proper","Estimate - de jure","Final figure, complete","2019","29762",""
"Austria","2019","Total","Both Sexes","Eisenstadt","City proper","Estimate - de jure","Final figure, complete","2019","14637",""
"Austria","2019","Total","Both Sexes","Graz","City proper","Estimate - de jure","Final figure, complete","2019","288806",""
"Austria","2019","Total","Both Sexes","Innsbruck","City proper","Estimate - de jure","Final figure, complete","2019","132110",""
"Austria","2019","Total","Both Sexes","Klagenfurt","City proper","Estimate - de jure","Final figure, complete","2019","100817",""
"Austria","2019","Total","Both Sexes","Linz","City proper","Estimate - de jure","Final figure, complete","2019","205726",""
"Austria","2019","Total","Both Sexes","Salzburg","City proper","Estimate - de jure","Final figure, complete","2019","154211",""
"Austria","2019","Total","Both Sexes","Sankt Pölten","City proper","Estimate - de jure","Final figure, complete","2019","55044",""
"Austria","2019","Total","Both Sexes","WIEN","City proper","Estimate - de jure","Final figure, complete","2019","1897491",""
"Austria","2019","Total","Male","Bregenz","City proper","Estimate - de jure","Final figure, complete","2019","14460",""
"Austria","2019","Total","Male","Eisenstadt","City proper","Estimate - de jure","Final figure, complete","2019","7080",""
"Austria","2019","Total","Male","Graz","City proper","Estimate - de jure","Final figure, complete","2019","142472",""
"Austria","2019","Total","Male","Innsbruck","City proper","Estimate - de jure","Final figure, complete","2019","64622",""
"Austria","2019","Total","Male","Klagenfurt","City proper","Estimate - de jure","Final figure, complete","2019","47764",""
"Austria","2019","Total","Male","Linz","City proper","Estimate - de jure","Final figure, complete","2019","99917",""
"Austria","2019","Total","Male","Salzburg","City proper","Estimate - de jure","Final figure, complete","2019","74006",""
"Austria","2019","Total","Male","Sankt Pölten","City proper","Estimate - de jure","Final figure, complete","2019","27028",""
"Austria","2019","Total","Male","WIEN","City proper","Estimate - de jure","Final figure, complete","2019","925003",""
"Austria","2019","Total","Female","Bregenz","City proper","Estimate - de jure","Final figure, complete","2019","15302",""
"Austria","2019","Total","Female","Eisenstadt","City proper","Estimate - de jure","Final figure, complete","2019","7557",""
"Austria","2019","Total","Female","Graz","City proper","Estimate - de jure","Final figure, complete","2019","146334",""
"Austria","2019","Total","Female","Innsbruck","City proper","Estimate - de jure","Final figure, complete","2019","67488",""
"Austria","2019","Total","Female","Klagenfurt","City proper","Estimate - de jure","Final figure, complete","2019","53053",""
"Austria","2019","Total","Female","Linz","City proper","Estimate - de jure","Final figure, complete","2019","105809",""
"Austria","2019","Total","Female","Salzburg","City proper","Estimate - de jure","Final figure, complete","2019","80205",""
"Austria","2019","Total","Female","Sankt Pölten","City proper","Estimate - de jure","Final figure, complete","2019","28016",""
"Austria","2019","Total","Female","WIEN","City proper","Estimate - de jure","Final figure, complete","2019","972488",""
"Austria","2018","Total","Both Sexes","Bregenz","City proper","Estimate - de jure","Final figure, complete","2018","29806",""
"Austria","2018","Total","Both Sexes","Eisenstadt","City proper","Estimate - de jure","Final figure, complete","2018","14476",""
"Austria","2018","Total","Both Sexes","Graz","City proper","Estimate - de jure","Final figure, complete","2018","286292",""
"Austria","2018","Total","Both Sexes","Innsbruck","City proper","Estimate - de jure","Final figure, complete","2018","132493",""
"Austria","2018","Total","Both Sexes","Klagenfurt","City proper","Estimate - de jure","Final figure, complete","2018","100369",""
"Austria","2018","Total","Both Sexes","Linz","City proper","Estimate - de jure","Final figure, complete","2018","204846",""
"Austria","2018","Total","Both Sexes","Salzburg","City proper","Estimate - de jure","Final figure, complete","2018","153377",""
"Austria","2018","Total","Both Sexes","Sankt Pölten","City proper","Estimate - de jure","Final figure, complete","2018","54649",""
"Austria","2018","Total","Both Sexes","WIEN","City proper","Estimate - de jure","Final figure, complete","2018","1888776",""
"Austria","2018","Total","Male","Bregenz","City proper","Estimate - de jure","Final figure, complete","2018","14455",""
"Austria","2018","Total","Male","Eisenstadt","City proper","Estimate - de jure","Final figure, complete","2018","7007",""
"Austria","2018","Total","Male","Graz","City proper","Estimate - de jure","Final figure, complete","2018","140952",""
"Austria","2018","Total","Male","Innsbruck","City proper","Estimate - de jure","Final figure, complete","2018","64794",""
"Austria","2018","Total","Male","Klagenfurt","City proper","Estimate - de jure","Final figure, complete","2018","47528",""
"Austria","2018","Total","Male","Linz","City proper","Estimate - de jure","Final figure, complete","2018","99289",""
"Austria","2018","Total","Male","Salzburg","City proper","Estimate - de jure","Final figure, complete","2018","73567",""
"Austria","2018","Total","Male","Sankt Pölten","City proper","Estimate - de jure","Final figure, complete","2018","26837",""
"Austria","2018","Total","Male","WIEN","City proper","Estimate - de jure","Final figure, complete","2018","920765",""
"Austria","2018","Total","Female","Bregenz","City proper","Estimate - de jure","Final figure, complete","2018","15351",""
"Austria","2018","Total","Female","Eisenstadt","City proper","Estimate - de jure","Final figure, complete","2018","7469",""
"Austria","2018","Total","Female","Graz","City proper","Estimate - de jure","Final figure, complete","2018","145340",""
"Austria","2018","Total","Female","Innsbruck","City proper","Estimate - de jure","Final figure, complete","2018","67699",""
"Austria","2018","Total","Female","Klagenfurt","City proper","Estimate - de jure","Final figure, complete","2018","52841",""
"Austria","2018","Total","Female","Linz","City proper","Estimate - de jure","Final figure, complete","2018","105557",""
"Austria","2018","Total","Female","Salzburg","City proper","Estimate - de jure","Final figure, complete","2018","79810",""
"Austria","2018","Total","Female","Sankt Pölten","City proper","Estimate - de jure","Final figure, complete","2018","27812",""
"Austria","2018","Total","Female","WIEN","City proper","Estimate - de jure","Final figure, complete","2018","968011",""
"Austria","2017","Total","Both Sexes","Bregenz","City proper","Estimate - de jure","Final figure, complete","2017","29574",""
"Austria","2017","Total","Both Sexes","Eisenstadt","City proper","Estimate - de jure","Final figure, complete","2017","14339",""
"Austria","2017","Total","Both Sexes","Graz","City proper","Estimate - de jure","Final figure, complete","2017","283869",""
"Austria","2017","Total","Both Sexes","Innsbruck","City proper","Estimate - de jure","Final figure, complete","2017","132236",""
"Austria","2017","Total","Both Sexes","Klagenfurt","City proper","Estimate - de jure","Final figure, complete","2017","99790",""
"Austria","2017","Total","Both Sexes","Linz","City proper","Estimate - de jure","Final figure, complete","2017","203012",""
"Austria","2017","Total","Both Sexes","Salzburg","City proper","Estimate - de jure","Final figure, complete","2017","152367",""
"Austria","2017","Total","Both Sexes","Sankt Pölten","City proper","Estimate - de jure","Final figure, complete","2017","54213",""
"Austria","2017","Total","Both Sexes","WIEN","City proper","Estimate - de jure","Final figure, complete","2017","1867582",""
"Austria","2017","Total","Male","Bregenz","City proper","Estimate - de jure","Final figure, complete","2017","14286",""
"Austria","2017","Total","Male","Eisenstadt","City proper","Estimate - de jure","Final figure, complete","2017","6975",""
"Austria","2017","Total","Male","Graz","City proper","Estimate - de jure","Final figure, complete","2017","139418",""
"Austria","2017","Total","Male","Innsbruck","City proper","Estimate - de jure","Final figure, complete","2017","64471",""
"Austria","2017","Total","Male","Klagenfurt","City proper","Estimate - de jure","Final figure, complete","2017","47217",""
"Austria","2017","Total","Male","Linz","City proper","Estimate - de jure","Final figure, complete","2017","98157",""
"Austria","2017","Total","Male","Salzburg","City proper","Estimate - de jure","Final figure, complete","2017","73063",""
