Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value
Austria,2019,Total,Both Sexes,Bregenz,City proper,Estimate - de jure,"Final figure, complete",2019.0,29762.0
Austria,2019,Total,Both Sexes,Eisenstadt,City proper,Estimate - de jure,"Final figure, complete",2019.0,14637.0
Austria,2019,Total,Both Sexes,Graz,City proper,Estimate - de jure,"Final figure, complete",2019.0,288806.0
Austria,2019,Total,Both Sexes,Innsbruck,City proper,Estimate - de jure,"Final figure, complete",2019.0,132110.0
Austria,2019,Total,Both Sexes,Klagenfurt,City proper,Estimate - de jure,"Final figure, complete",2019.0,100817.0
Austria,2019,Total,Both Sexes,Linz,City proper,Estimate - de jure,"Final figure, complete",2019.0,205726.0
Austria,2019,Total,Both Sexes,Salzburg,City proper,Estimate - de jure,"Final figure, complete",2019.0,154211.0
Austria,2019,Total,Both Sexes,Sankt Pölten,City proper,Estimate - de jure,"Final figure, complete",2019.0,55044.0
Austria,2019,Total,Both Sexes,WIEN,City proper,Estimate - de jure,"Final figure, complete",2019.0,1897491.0
Austria,2019,Total,Male,Bregenz,City proper,Estimate - de jure,"Final figure, complete",2019.0,14460.0
Austria,2019,Total,Male,Eisenstadt,City proper,Estimate - de jure,"Final figure, complete",2019.0,7080.0
Austria,2019,Total,Male,Graz,City proper,Estimate - de jure,"Final figure, complete",2019.0,142472.0
Austria,2019,Total,Male,Innsbruck,City proper,Estimate - de jure,"Final figure, complete",2019.0,64622.0
Austria,2019,Total,Male,Klagenfurt,City proper,Estimate - de jure,"Final figure, complete",2019.0,47764.0
Austria,2019,Total,Male,Linz,City proper,Estimate - de jure,"Final figure, complete",2019.0,99917.0
Austria,2019,Total,Male,Salzburg,City proper,Estimate - de jure,"Final figure, complete",2019.0,74006.0
Austria,2019,Total,Male,Sankt Pölten,City proper,Estimate - de jure,"Final figure, complete",2019.0,27028.0
Austria,2019,Total,Male,WIEN,City proper,Estimate - de jure,"Final figure, complete",2019.0,925003.0
Austria,2019,Total,Female,Bregenz,City proper,Estimate - de jure,"Final figure, complete",2019.0,15302.0
Austria,2019,Total,Female,Eisenstadt,City proper,Estimate - de jure,"Final figure, complete",2019.0,7557.0
Austria,2019,Total,Female,Graz,City proper,Estimate - de jure,"Final figure, complete",2019.0,146334.0
Austria,2019,Total,Female,Innsbruck,City proper,Estimate - de jure,"Final figure, complete",2019.0,67488.0
Austria,2019,Total,Female,Klagenfurt,City proper,Estimate - de jure,"Final figure, complete",2019.0,53053.0
Austria,2019,Total,Female,Linz,City proper,Estimate - de jure,"Final figure, complete",2019.0,105809.0
Austria,2019,Total,Female,Salzburg,City proper,Estimate - de jure,"Final figure, complete",2019.0,80205.0
Austria,2019,Total,Female,Sankt Pölten,City proper,Estimate - de jure,"Final figure, complete",2019.0,28016.0
Austria,2019,Total,Female,WIEN,City proper,Estimate - de jure,"Final figure, complete",2019.0,972488.0
Belgium,2011,Total,Both Sexes,Anderlecht,City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,108940.0
Belgium,2011,Total,Both Sexes,Antwerpen (Anvers),City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,498473.0
Belgium,2011,Total,Both Sexes,Brugge,City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,117260.0
Belgium,2011,Total,Both Sexes,BRUXELLES (BRUSSEL),City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,174383.0
Belgium,2011,Total,Both Sexes,Charleroi,City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,204150.0
Belgium,2011,Total,Both Sexes,Gent (Gand),City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,248358.0
Belgium,2011,Total,Both Sexes,Liège (Luik),City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,195965.0
Belgium,2011,Total,Both Sexes,Namur,City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,110175.0
Belgium,2011,Total,Both Sexes,Schaerbeek,City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,127525.0
Belgium,2011,Total,Male,Anderlecht,City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,53707.0
Belgium,2011,Total,Male,Antwerpen (Anvers),City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,247192.0
Belgium,2011,Total,Male,Brugge,City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,56952.0
Belgium,2011,Total,Male,BRUXELLES (BRUSSEL),City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,90317.0
Belgium,2011,Total,Male,Charleroi,City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,99221.0
Belgium,2011,Total,Male,Gent (Gand),City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,122457.0
Belgium,2011,Total,Male,Liège (Luik),City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,96509.0
Belgium,2011,Total,Male,Namur,City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,53019.0
Belgium,2011,Total,Male,Schaerbeek,City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,63020.0
Belgium,2011,Total,Female,Anderlecht,City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,55233.0
Belgium,2011,Total,Female,Antwerpen (Anvers),City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,251281.0
Belgium,2011,Total,Female,Brugge,City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,60308.0
Belgium,2011,Total,Female,BRUXELLES (BRUSSEL),City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,84066.0
Belgium,2011,Total,Female,Charleroi,City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,104929.0
Belgium,2011,Total,Female,Gent (Gand),City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,125901.0
Belgium,2011,Total,Female,Liège (Luik),City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,99456.0
Belgium,2011,Total,Female,Namur,City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,57156.0
Belgium,2011,Total,Female,Schaerbeek,City proper,Census - de jure - complete tabulation,"Final figure, complete",2015.0,64505.0
Czechia,2018,Total,Both Sexes,Brno,City proper,Estimate - de jure,"Final figure, complete",2018.0,379527.0
Czechia,2018,Total,Both Sexes,Hradec Králové,City proper,Estimate - de jure,"Final figure, complete",2018.0,92917.0
Czechia,2018,Total,Both Sexes,Liberec,City proper,Estimate - de jure,"Final figure, complete",2018.0,103979.0
Czechia,2018,Total,Both Sexes,Olomouc,City proper,Estimate - de jure,"Final figure, complete",2018.0,100494.0
Czechia,2018,Total,Both Sexes,Ústí nad Labem,City proper,Estimate - de jure,"Final figure, complete",2018.0,93040.0
Czechia,2018,Total,Both Sexes,Ostrava,City proper,Estimate - de jure,"Final figure, complete",2018.0,290450.0
Czechia,2018,Total,Both Sexes,Plzen,City proper,Estimate - de jure,"Final figure, complete",2018.0,170936.0
Czechia,2018,Total,Both Sexes,PRAHA,City proper,Estimate - de jure,"Final figure, complete",2018.0,1294513.0
Czechia,2018,Total,Male,Brno,City proper,Estimate - de jure,"Final figure, complete",2018.0,183300.0
Czechia,2018,Total,Male,Hradec Králové,City proper,Estimate - de jure,"Final figure, complete",2018.0,44602.0
Czechia,2018,Total,Male,Liberec,City proper,Estimate - de jure,"Final figure, complete",2018.0,50329.0
Czechia,2018,Total,Male,Olomouc,City proper,Estimate - de jure,"Final figure, complete",2018.0,47615.0
Czechia,2018,Total,Male,Ústí nad Labem,City proper,Estimate - de jure,"Final figure, complete",2018.0,45169.0
Czechia,2018,Total,Male,Ostrava,City proper,Estimate - de jure,"Final figure, complete",2018.0,140768.0
Czechia,2018,Total,Male,Plzen,City proper,Estimate - de jure,"Final figure, complete",2018.0,82988.0
Czechia,2018,Total,Male,PRAHA,City proper,Estimate - de jure,"Final figure, complete",2018.0,629550.0
Czechia,2018,Total,Female,Brno,City proper,Estimate - de jure,"Final figure, complete",2018.0,196227.0
Czechia,2018,Total,Female,Hradec Králové,City proper,Estimate - de jure,"Final figure, complete",2018.0,48315.0
Czechia,2018,Total,Female,Liberec,City proper,Estimate - de jure,"Final figure, complete",2018.0,53650.0
Czechia,2018,Total,Female,Olomouc,City proper,Estimate - de jure,"Final figure, complete",2018.0,52879.0
Czechia,2018,Total,Female,Ústí nad Labem,City proper,Estimate - de jure,"Final figure, complete",2018.0,47871.0
Czechia,2018,Total,Female,Ostrava,City proper,Estimate - de jure,"Final figure, complete",2018.0,149682.0
Czechia,2018,Total,Female,Plzen,City proper,Estimate - de jure,"Final figure, complete",2018.0,87948.0
Czechia,2018,Total,Female,PRAHA,City proper,Estimate - de jure,"Final figure, complete",2018.0,664963.0
Denmark,2018,Total,Both Sexes,Ålborg,City proper,Estimate - de jure,"Final figure, complete",2018.0,213271.0
Denmark,2018,Total,Both Sexes,Århus,City proper,Estimate - de jure,"Final figure, complete",2018.0,341497.0
Denmark,2018,Total,Both Sexes,Esbjerg,City proper,Estimate - de jure,"Final figure, complete",2018.0,116061.0
Denmark,2018,Total,Both Sexes,Frederiksberg,City proper,Estimate - de jure,"Final figure, complete",2018.0,103914.0
Denmark,2018,Total,Both Sexes,KOBENHAVN,City proper,Estimate - de jure,"Final figure, complete",2018.0,616098.0
Denmark,2018,Total,Both Sexes,Odense,City proper,Estimate - de jure,"Final figure, complete",2018.0,202663.0
Denmark,2018,Total,Both Sexes,Vejle,City proper,Estimate - de jure,"Final figure, complete",2018.0,114464.0
Denmark,2018,Total,Male,Ålborg,City proper,Estimate - de jure,"Final figure, complete",2018.0,107482.0
Denmark,2018,Total,Male,Århus,City proper,Estimate - de jure,"Final figure, complete",2018.0,168169.0
Denmark,2018,Total,Male,Esbjerg,City proper,Estimate - de jure,"Final figure, complete",2018.0,58200.0
Denmark,2018,Total,Male,Frederiksberg,City proper,Estimate - de jure,"Final figure, complete",2018.0,49144.0
Denmark,2018,Total,Male,KOBENHAVN,City proper,Estimate - de jure,"Final figure, complete",2018.0,304652.0
Denmark,2018,Total,Male,Odense,City proper,Estimate - de jure,"Final figure, complete",2018.0,100245.0
Denmark,2018,Total,Male,Vejle,City proper,Estimate - de jure,"Final figure, complete",2018.0,57269.0
