,Cuisine Style,Price Range,Number of Reviews
8,"['Cafe', 'European']",,1
0,"['French', 'International', 'European']",$$ - $$$,227
32,,,1
118,,,2
3,,,3
33,['Vietnamese'],,4
28,,,4
7,['Italian'],,9
9,"['Italian', 'Pizza', 'Fast Food']",$,80
45,"['Bar', 'European', 'British', 'Pub']",,15
61,,,2
35,"['Italian', 'Mexican', 'Pizza']",$$ - $$$,36
30,"['American', 'European', 'Diner']",$$ - $$$,31
22,"['Quick Bites', 'Bar', 'British']",$$ - $$$,95
1,"['Asian', 'Nepali']",$$ - $$$,15
17,"['Bar', 'Pub']",$$ - $$$,7
75,,,3
57,,,6
15,"['Cafe', 'Vegetarian Friendly']",$$ - $$$,37
19,"['Chinese', 'Asian']",$$ - $$$,18
25,"['Polish', 'International', 'European']",$,2
23,"['Asian', 'Thai', 'Vegetarian Friendly']",$$ - $$$,475
24,"['Quick Bites', 'British']",$$ - $$$,18
37,"['Chinese', 'Japanese', 'Seafood']",$$ - $$$,74
81,"['Japanese', 'Sushi', 'Asian']",,20
34,"['Italian', 'Pizza', 'Fast Food']",$,77
112,"['French', 'Swiss', 'European']",$$ - $$$,1592
47,"['Belgian', 'European', 'Vegetarian Friendly']",$$ - $$$,786
123,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,1195
84,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,172
120,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,403
104,"['European', 'Portuguese']",,3
125,"['Italian', 'Gluten Free Options']",$$ - $$$,458
103,"['French', 'European', 'Healthy']",$$ - $$$,632
80,"['Quick Bites', 'Mexican', 'Fast Food']",$,30
127,"['French', 'European']",$,29
142,,$,52
16,"['Japanese', 'Asian', 'Thai', 'Vietnamese']",,4
13,,$,11
11,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,160
36,"['Italian', 'Bar']",$$ - $$$,109
69,"['Chinese', 'Hunan', 'Asian']",$$ - $$$,184
93,"['Latin', 'Venezuelan', 'South American']",$$ - $$$,31
70,"['Italian', 'Pizza']",$,22
86,"['Dutch', 'Cafe', 'European']",$,17
62,"['Mediterranean', 'Spanish']",$,26
5,"['Bar', 'European', 'Portuguese']",$$ - $$$,45
79,"['Seafood', 'Mediterranean', 'Greek']",$$ - $$$,2882
76,"['Mediterranean', 'European', 'Contemporary']",$$ - $$$,78
40,"['Bar', 'Cafe', 'Mediterranean']",$,18
67,"['Seafood', 'Mediterranean', 'Spanish']",$$ - $$$,150
64,"['Irish', 'Seafood', 'European']",$$ - $$$,2535
29,"['Bar', 'Mediterranean', 'Spanish']",$,16
50,"['Chinese', 'Fast Food', 'Sushi']",$,16
88,"['Indian', 'Asian', 'Healthy']",$$ - $$$,1677
130,"['Cafe', 'Vegetarian Friendly', 'Vegan Options']",$,19
113,"['Italian', 'Pizza']",$$ - $$$,60
73,,,3
83,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,17
87,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,34
108,"['Italian', 'Mediterranean']",$$ - $$$,1
193,"['European', 'Eastern European', 'Central European']",$$ - $$$,1279
102,"['French', 'European', 'Hungarian']",$$ - $$$,48
133,['Greek'],,3
91,"['Cafe', 'Turkish', 'Middle Eastern']",$$ - $$$,24
179,"['Indian', 'Pakistani', 'Vegetarian Friendly']",$$ - $$$,53
343,['Italian'],,9
279,"['Chinese', 'Asian', 'Cantonese']",$$ - $$$,57
208,"['Quick Bites', 'Fast Food']",$,36
202,['Spanish'],,2
175,"['Mediterranean', 'Spanish']",$$ - $$$,55
152,,,9
143,,,
10,"['Mediterranean', 'Spanish']",$,12
6,"['Italian', 'Pizza', 'Seafood']",$,82
60,"['Specialty Food Market', 'German', 'Deli']",$,19
42,"['European', 'Healthy', 'Soups']",$$ - $$$,111
41,"['Asian', 'Thai', 'Vegan Options']",$$ - $$$,167
121,['Italian'],$,44
63,"['Mediterranean', 'Healthy', 'Vegetarian Friendly']",$,1744
168,"['Italian', 'Mediterranean', 'European']",$$ - $$$,49
132,"['Cafe', 'British', 'Vegetarian Friendly']",$,38
12,"['Italian', 'Pizza', 'European']",$$ - $$$,406
116,"['Indian', 'Pakistani', 'Vegetarian Friendly']",$,76
97,"['Cafe', 'Healthy', 'Vegetarian Friendly']",$,83
89,"['French', 'European']",$$$$,58
129,['Vegetarian Friendly'],$$ - $$$,23
52,"['Asian', 'Vietnamese']",$,40
90,"['French', 'Vegetarian Friendly', 'Vegan Options']",$,55
77,"['Italian', 'Mediterranean', 'European']",$$ - $$$,191
109,"['German', 'European', 'Vegetarian Friendly']",$$ - $$$,43
72,"['Irish', 'European', 'Vegetarian Friendly']",$$ - $$$,84
58,"['Chinese', 'Japanese', 'Sushi']",$$ - $$$,742
43,['Pub'],$,51
111,['Italian'],,9
154,"['Cafe', 'European']",$,47
126,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,650
78,"['Cafe', 'Spanish']",$,32
100,['Italian'],,4
134,"['Polish', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,244
92,"['Fast Food', 'Healthy', 'Vegetarian Friendly']",$$ - $$$,25
59,,,2
543,,,1
55,['Cafe'],$,5
338,"['Belgian', 'Bar', 'European']",$$ - $$$,156
156,['Indian'],,10
350,"['Bar', 'Pub']",$,4
356,"['Japanese', 'Sushi']",$$ - $$$,17
336,,,6
184,"['Indian', 'Vegetarian Friendly', 'Vegan Options']",$,25
147,['Spanish'],,2
235,,,1
233,"['Latin', 'Argentinean', 'Vegetarian Friendly']",$,46
306,['Italian'],,6
101,"['Mediterranean', 'Spanish', 'Vegetarian Friendly']",$$ - $$$,478
243,"['Japanese', 'Asian', 'Vegetarian Friendly']",$$$$,317
189,"['European', 'Portuguese']",,3
473,,,1
325,"['Italian', 'International']",$$ - $$$,9
215,"['Greek', 'Vegetarian Friendly']",$$ - $$$,22
4,"['German', 'European', 'Central European']",$$ - $$$,178
392,"['Asian', 'Vegetarian Friendly']",$,30
384,,,1
305,"['Russian', 'Vegetarian Friendly']",$$ - $$$,28
417,['Italian'],$,12
20,,,
131,"['French', 'Cafe', 'Vegetarian Friendly']",$,45
105,,,
327,,,
410,"['Italian', 'European', 'Vegetarian Friendly']",$$ - $$$,26
99,"['Chinese', 'Asian', 'Vegetarian Friendly']",$$ - $$$,29
26,"['Spanish', 'Wine Bar']",$$ - $$$,11
94,"['Bar', 'British', 'Pub']",$$ - $$$,66
164,,,6
2,"['Japanese', 'Sushi', 'Asian']",$$$$,991
178,"['Turkish', 'Middle Eastern', 'Vegetarian Friendly']",$,17
74,"['Bar', 'International']",$$ - $$$,95
66,"['Japanese', 'Asian', 'Fusion']",$$$$,1264
98,"['Italian', 'Pizza', 'Mediterranean']",$,29
51,,$,9
85,"['Chinese', 'Japanese', 'Seafood']",$,350
117,"['Italian', 'Vegetarian Friendly', 'Vegan Options']",$,37
247,"['European', 'Portuguese']",,3
161,"['French', 'Cafe', 'International']",,4
119,,$$ - $$$,33
138,"['Asian', 'Tibetan', 'Nepali']",$$ - $$$,13
181,"['European', 'Portuguese']",$,29
188,"['Italian', 'Mediterranean', 'European']",$$ - $$$,201
65,"['European', 'Hungarian']",$,12
141,"['Italian', 'European', 'Vegetarian Friendly']",$$ - $$$,212
367,['Spanish'],$$ - $$$,17
381,,,4
311,"['European', 'Portuguese']",$,81
275,,,2
260,,,2
351,,$,34
293,"['Quick Bites', 'American', 'Bar']",$$ - $$$,113
375,"['Italian', 'Mediterranean']",$$ - $$$,64
424,,,1
405,['Deli'],,7
477,,,4
363,"['American', 'Fast Food']",$,13
226,['Italian'],$$ - $$$,17
358,['Spanish'],$$ - $$$,56
453,"['Italian', 'Pizza', 'Seafood']",$$ - $$$,348
380,['Italian'],$$ - $$$,49
431,"['European', 'Portuguese']",,9
472,['German'],,3
370,['Ethiopian'],$,6
236,"['Chinese', 'Japanese', 'Asian']",$$ - $$$,490
407,"['French', 'African', 'Moroccan']",$$ - $$$,104
466,"['Brew Pub', 'Cafe', 'Wine Bar']",,3
450,"['Italian', 'Pizza']",$$ - $$$,2
484,"['Mediterranean', 'Middle Eastern', 'Vegetarian Friendly']",$,139
467,,,25
443,"['International', 'Contemporary', 'Healthy']",$,2
496,"['Bar', 'Pub']",,5
479,,,16
434,['Moroccan'],$$ - $$$,124
497,"['Pizza', 'Seafood']",,1
462,"['Italian', 'Mediterranean', 'European']",$$ - $$$,47
525,['Chinese'],,5
557,['Italian'],,1
71,,,
197,,,
285,,,
298,"['Bar', 'Fast Food', 'European']",$,18
261,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,109
757,,,
149,"['Cafe', 'European', 'Pub']",$$ - $$$,70
331,"['Bar', 'International']",$$ - $$$,89
342,"['Seafood', 'Healthy']",,16
227,"['American', 'Fast Food', 'Diner']",$$ - $$$,118
151,"['Bar', 'European', 'British']",$$ - $$$,129
340,"['Asian', 'Vietnamese', 'Street Food']",$$ - $$$,36
355,"['Chinese', 'Asian', 'Cantonese']",$$ - $$$,1339
122,"['Italian', 'Mediterranean', 'European']",$$$$,281
44,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,28
230,"['Italian', 'Pizza', 'Spanish']",,13
174,,,9
195,"['Pizza', 'Fast Food', 'Greek']",$,49
318,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",$$ - $$$,65
218,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,19
169,"['French', 'Bar', 'Cafe']",$,11
157,"['Steakhouse', 'Brazilian', 'Fusion']",$$ - $$$,27
321,"['Seafood', 'European', 'Portuguese']",$$ - $$$,94
277,,,4
225,"['Italian', 'Mediterranean']",$$ - $$$,15
316,"['Indian', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,30
171,"['French', 'European']",$$ - $$$,478
283,"['Barbecue', 'British']",$$ - $$$,20
205,"['American', 'Bar', 'International']",$$ - $$$,293
183,['Italian'],,1
284,"['Bar', 'British', 'Pub']",$$ - $$$,113
329,['Portuguese'],$$ - $$$,37
334,"['Japanese', 'International', 'Asian']",$$ - $$$,162
222,"['Cafe', 'European', 'Portuguese']",$,23
313,"['Chinese', 'Spanish']",$$ - $$$,12
18,"['German', 'Cafe', 'International']",$$ - $$$,75
302,['French'],,12
200,"['Indian', 'Asian', 'Vegetarian Friendly']",$$ - $$$,430
203,"['Italian', 'Seafood', 'Mediterranean']",$$ - $$$,28
360,['American'],,16
153,"['Chinese', 'Asian', 'Cantonese']",$$ - $$$,1703
257,"['Italian', 'Mediterranean', 'European']",$$ - $$$,319
414,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,59
317,"['Bar', 'Cafe', 'Pub']",$$ - $$$,13
214,"['Indian', 'Asian', 'Eastern European']",$$ - $$$,25
229,"['Bar', 'Pub']",$$ - $$$,2
369,"['Bar', 'Pub']",,4
194,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,82
460,"['French', 'Swiss', 'European']",$$ - $$$,30
346,"['Seafood', 'European', 'Spanish']",$$ - $$$,37
166,"['American', 'Contemporary', 'Vegetarian Friendly']",$$ - $$$,808
191,"['Indian', 'Asian', 'Balti']",$$ - $$$,648
357,"['Mediterranean', 'European', 'Vegetarian Friendly']",$$ - $$$,1215
240,"['Cafe', 'Spanish']",$$ - $$$,15
256,"['French', 'Spanish', 'Wine Bar']",$$ - $$$,23
454,['Spanish'],$,24
438,,$$ - $$$,10
39,"['Italian', 'Bar', 'Vegetarian Friendly']",$$ - $$$,761
394,['Italian'],$$ - $$$,18
242,"['Greek', 'Vegetarian Friendly']",$,21
231,"['Indian', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,29
292,"['Mediterranean', 'Spanish']",$$ - $$$,24
53,"['Italian', 'Pizza', 'European']",$$ - $$$,463
204,"['Asian', 'Vietnamese', 'Vegetarian Friendly']",$,106
266,"['Chinese', 'Sushi', 'Asian']",$$ - $$$,66
404,"['Japanese', 'Sushi', 'European']",$$ - $$$,125
468,['British'],,3
483,"['Steakhouse', 'Brazilian']",$$ - $$$,191
400,"['Mediterranean', 'European', 'Portuguese']",$,130
398,,,17
353,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,265
463,"['Indian', 'Asian', 'Pakistani']",$$ - $$$,3639
165,,,
494,,,8
