flight_id,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,aircraft_code,actual_departure,actual_arrival,ticket_no,flight_id,fare_conditions,amount,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,aircraft_code,actual_departure,actual_arrival,5432079221,36094,business,99800.00,ticket_no,flight_id,boarding_no,seat_no,aircraft_code,model,range
136620,PG0480,2017-02-17T09:25:00Z,2017-02-17T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-17T09:30:00Z,2017-02-17T10:19:00Z,5432376278   ,136620,Economy,6300.00,,,,,,,,,,,,,,5432376278   ,136620,12,16A,SU9,Sukhoi Superjet-100,3000
136678,PG0480,2017-01-28T09:25:00Z,2017-01-28T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-28T09:27:00Z,2017-01-28T10:17:00Z,5432053743   ,136678,Economy,6300.00,,,,,,,,,,,,,,5432053743   ,136678,48,16A,SU9,Sukhoi Superjet-100,3000
136660,PG0480,2017-02-20T09:25:00Z,2017-02-20T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-20T09:26:00Z,2017-02-20T10:15:00Z,5432376386   ,136660,Economy,6300.00,,,,,,,,,,,,,,5432376386   ,136660,30,16A,SU9,Sukhoi Superjet-100,3000
136900,PG0480,2017-02-01T09:25:00Z,2017-02-01T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-01T09:30:00Z,2017-02-01T10:21:00Z,5432375433   ,136900,Economy,6300.00,,,,,,,,,,,,,,5432375433   ,136900,64,16A,SU9,Sukhoi Superjet-100,3000
136757,PG0480,2017-01-27T09:25:00Z,2017-01-27T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-27T09:30:00Z,2017-01-27T10:19:00Z,5432375294   ,136757,Economy,6300.00,,,,,,,,,,,,,,5432375294   ,136757,59,16A,SU9,Sukhoi Superjet-100,3000
136709,PG0480,2017-01-15T09:25:00Z,2017-01-15T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-15T09:28:00Z,2017-01-15T10:18:00Z,5432318960   ,136709,Economy,6300.00,,,,,,,,,,,,,,5432318960   ,136709,38,16A,SU9,Sukhoi Superjet-100,3000
136936,PG0480,2017-01-02T09:25:00Z,2017-01-02T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-02T09:28:00Z,2017-01-02T10:18:00Z,5432318442   ,136936,Economy,6300.00,,,,,,,,,,,,,,5432318442   ,136936,52,16A,SU9,Sukhoi Superjet-100,3000
136733,PG0480,2017-01-09T09:25:00Z,2017-01-09T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-09T09:27:00Z,2017-01-09T10:18:00Z,5432318987   ,136733,Economy,6300.00,,,,,,,,,,,,,,5432318987   ,136733,5,16A,SU9,Sukhoi Superjet-100,3000
136887,PG0480,2017-01-20T09:25:00Z,2017-01-20T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-20T09:30:00Z,2017-01-20T10:19:00Z,5432319252   ,136887,Economy,6300.00,,,,,,,,,,,,,,5432319252   ,136887,71,16A,SU9,Sukhoi Superjet-100,3000
136815,PG0480,2017-02-19T09:25:00Z,2017-02-19T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-19T09:26:00Z,2017-02-19T10:17:00Z,5432376239   ,136815,Economy,6300.00,,,,,,,,,,,,,,5432376239   ,136815,53,16A,SU9,Sukhoi Superjet-100,3000
136781,PG0480,2017-01-14T09:25:00Z,2017-01-14T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-14T09:26:00Z,2017-01-14T10:16:00Z,5432374860   ,136781,Economy,6300.00,,,,,,,,,,,,,,5432374860   ,136781,42,16A,SU9,Sukhoi Superjet-100,3000
136586,PG0480,2017-01-10T09:25:00Z,2017-01-10T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-10T09:28:00Z,2017-01-10T10:18:00Z,5432318826   ,136586,Economy,6300.00,,,,,,,,,,,,,,5432318826   ,136586,5,16A,SU9,Sukhoi Superjet-100,3000
136649,PG0480,2017-01-18T09:25:00Z,2017-01-18T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-18T09:25:00Z,2017-01-18T10:15:00Z,5432319114   ,136649,Economy,6300.00,,,,,,,,,,,,,,5432319114   ,136649,90,16A,SU9,Sukhoi Superjet-100,3000
136654,PG0480,2017-01-19T09:25:00Z,2017-01-19T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-19T09:28:00Z,2017-01-19T10:17:00Z,5432319144   ,136654,Economy,6300.00,,,,,,,,,,,,,,5432319144   ,136654,26,16A,SU9,Sukhoi Superjet-100,3000
